,code_module,id_student,id_site,date,sum_click,final_result,semester,FResult02_Fail,FResult02_Pass,FResult02_Withdrawn
code_module,1.0,-0.0424555800754836,-0.033269477901955634,-0.0020957765952123435,0.064921502274178,-0.02380430857835507,-0.02736757737667448,0.006600175338384358,-0.01074298943807504,-0.014227370297680828
id_student,-0.0424555800754836,1.0,0.007830106553506563,0.003647283054219083,0.0023778799792957667,-0.0253753300374076,0.021921209180766673,-0.022932691985376848,-0.01164749648648357,-0.003998454504725917
id_site,-0.033269477901955634,0.007830106553506563,1.0,0.0648796177580539,-0.005584577264018083,-0.029199517510277523,0.4580039963225486,-0.05224764676553707,-0.02774799605519318,0.020245100865072883
date,-0.0020957765952123435,0.003647283054219083,0.0648796177580539,1.0,0.020645345173466563,-0.0996556084131673,0.07105326516142378,-0.1098290809039317,0.15388997204480098,-0.22265805691011276
sum_click,0.064921502274178,0.0023778799792957667,-0.005584577264018083,0.020645345173466563,1.0,-0.012323238811902015,0.0001567666504508508,-0.017292700951819912,0.011204023884597245,-0.017780290870715136
final_result,-0.02380430857835507,-0.0253753300374076,-0.029199517510277523,-0.0996556084131673,-0.012323238811902015,1.0,-0.00857991440890576,-0.26160486871993877,0.5111499670220161,0.527745792021004
semester,-0.02736757737667448,0.021921209180766673,0.4580039963225486,0.07105326516142378,0.0001567666504508508,-0.00857991440890576,1.0,-0.06300290899493916,0.046247228346235236,-0.03499307674399921
FResult02_Fail,0.006600175338384358,-0.022932691985376848,-0.05224764676553707,-0.1098290809039317,-0.017292700951819912,-0.26160486871993877,-0.06300290899493916,1.0,-0.4566833574511483,-0.1321892419404949
FResult02_Pass,-0.01074298943807504,-0.01164749648648357,-0.02774799605519318,0.15388997204480098,0.011204023884597245,0.5111499670220161,0.046247228346235236,-0.4566833574511483,1.0,-0.4047159648894809
FResult02_Withdrawn,-0.014227370297680828,-0.003998454504725917,0.020245100865072883,-0.22265805691011276,-0.017780290870715136,0.527745792021004,-0.03499307674399921,-0.1321892419404949,-0.4047159648894809,1.0
