,code_module,code_presentation,id_student,id_site,date,sum_click,final_result,year,semester,FResult02_Fail,FResult02_Pass,FResult02_Withdrawn
count,997346.0,997346,997346.0,997346.0,997346.0,997346.0,997346.0,997346,997346.0,997346,997346,997346
unique,,4,,,,,,2,,2,2,2
top,,2014J,,,,,,2014,,False,True,False
freq,,339892,,,,,,549302,,868910,582495,893049
mean,3.4668951397007657,,733910.9150194617,739141.1450469546,93.61790191167358,3.323649967012451,1.6105915098671875,,0.6166766598552559,,,
std,1.620163778063927,,583508.997103172,129959.76384283793,75.98039291103969,5.956261013308586,0.9011795984374634,,0.48619625056231663,,,
min,0.0,,6516.0,526721.0,-25.0,1.0,0.0,,0.0,,,
25%,2.0,,506705.0,673522.0,24.0,1.0,1.0,,0.0,,,
50%,4.0,,588775.0,768343.0,84.0,2.0,2.0,,1.0,,,
75%,5.0,,646836.0,877012.0,154.0,3.0,2.0,,1.0,,,
max,6.0,,2698588.0,1046866.0,269.0,997.0,3.0,,1.0,,,
