,code_module,id_student,id_site,date,sum_click,final_result,semester,FResult02_Fail,FResult02_Pass,FResult02_Withdrawn
code_module,1.0,-0.036801616330690526,-0.03175665694728298,-0.0007656864515363302,0.06852654909098717,-0.024365481487645203,-0.026417510979843437,0.004687462524742186,-0.010862109503316049,-0.013916655686846024
id_student,-0.036801616330690526,1.0,0.006175259717905921,-0.0025631756626255655,0.003316953130437871,-0.025434945197872278,0.019371096756338857,-0.023335344088644138,-0.014108030677407112,-0.001278711572090864
id_site,-0.03175665694728298,0.006175259717905921,1.0,0.0634597485387602,-0.004583417405943746,-0.02698611858344822,0.4611368655317797,-0.05043809423539531,-0.026944285992623714,0.020811914776883777
date,-0.0007656864515363302,-0.0025631756626255655,0.0634597485387602,1.0,0.021989383437926342,-0.09794159273211549,0.0722835782611275,-0.10835581163062784,0.15545844839412418,-0.22259415521959106
sum_click,0.06852654909098717,0.003316953130437871,-0.004583417405943746,0.021989383437926342,1.0,-0.013643329427747606,0.002723668635605824,-0.019736554636335706,0.010375318467319991,-0.017249096590043173
final_result,-0.024365481487645203,-0.025434945197872278,-0.02698611858344822,-0.09794159273211549,-0.013643329427747606,1.0,-0.008636456194060244,-0.26189069330136366,0.5088134356021792,0.5290840069110165
semester,-0.026417510979843437,0.019371096756338857,0.4611368655317797,0.0722835782611275,0.002723668635605824,-0.008636456194060244,1.0,-0.06360710223525899,0.044933537471856,-0.03333399794024571
FResult02_Fail,0.004687462524742186,-0.023335344088644138,-0.05043809423539531,-0.10835581163062784,-0.019736554636335706,-0.26189069330136366,-0.06360710223525899,1.0,-0.4560684759663342,-0.1326472961442091
FResult02_Pass,-0.010862109503316049,-0.014108030677407112,-0.026944285992623714,0.15545844839412418,0.010375318467319991,0.5088134356021792,0.044933537471856,-0.4560684759663342,1.0,-0.4059444892865528
FResult02_Withdrawn,-0.013916655686846024,-0.001278711572090864,0.020811914776883777,-0.22259415521959106,-0.017249096590043173,0.5290840069110165,-0.03333399794024571,-0.1326472961442091,-0.4059444892865528,1.0
